Location,LocCode,ImageNumber,ImageQuality,Species,NumIndividuals,Date,Time,datetime,Notes,Counter
Culver_Culvert,CB,IMG_0008-CB-2020-02-07-raccoon,2.0,raccoon,1.0,2/7/2020,19:32:00,2020-02-07 19:32:00, ,5192
Culver_Culvert,CB,IMG_0612-CB-2020-02-06-raccoon,3.0,raccoon,1.0,2/6/2020,5:24:00,2020-02-06 05:24:00, ,5183
Culver_Culvert,CB,IMG_0673-CB-2020-03-17-bird,1.0,bird,2.0,3/17/2020,13:55:00,2020-03-17 13:55:00,ducks,5229
Culver_Culvert,CB,IMG_0074-CB-2019-12-31-bird,3.0,bird,1.0,12/31/2019,9:10:00,2019-12-31 09:10:00, ,5032
Culver_Culvert,CB,IMG_0138-CB-2020-01-08-bird,2.0,bird,1.0,1/8/2020,9:58:00,2020-01-08 09:58:00, ,5074
Culver_Culvert,CB,IMG_0575-CB-2020-02-05-coyote,1.0,coyote,1.0,2/5/2020,6:43:00,2020-02-05 06:43:00, ,5156
Culver_Culvert,CB,IMG_0584-CB-2020-02-05-coyote,1.0,coyote,1.0,2/5/2020,8:24:00,2020-02-05 08:24:00, ,5165
Culver_Culvert,CB,IMG_0592-CB-2020-02-05-bird,1.0,bird,1.0,2/5/2020,10:35:00,2020-02-05 10:35:00,Snowy Egret,5171
Culver_Culvert,CB,IMG_0216-CB-2020-03-05-human,1.0,human,1.0,3/5/2020,8:15:00,2020-03-05 08:15:00, ,5217
Culver_Culvert,CB,IMG_1269-CB-2020-03-26-human,3.0,human,1.0,3/26/2020,6:12:00,2020-03-26 06:12:00, ,5236
Culver_Culvert,CB,IMG_0712-CB-2020-03-18-bird,2.0,bird,1.0,3/18/2020,14:13:00,2020-03-18 14:13:00,duck,5234
Culver_Culvert,CB,IMG_0046-CB-2019-12-29-bird,2.0,bird,1.0,12/29/2019,12:23:00,2019-12-29 12:23:00,black medium feathery bird,5011
Culver_Culvert,CB,IMG_0091-CB-2020-02-16-raccoon,2.0,raccoon,1.0,2/16/2020,21:52:00,2020-02-16 21:52:00, ,5203
